S.No.,Name,CMP Rs.,IV Rs.,Mar Cap Rs.Cr.,OPM %,P/E,CMP / BV,PEG,ROE %,ROA 12M %,ROE 3Yr %,ROE 5Yr %,Sales Var 3Yrs %,Sales Var 5Yrs %,Profit Var 3Yrs %,Profit Var 5Yrs %,ROCE % 
526,Asian Energy,308.16,156.56,1385.13,11.83,29.6,3.12,10.69,12.45,8.63,3.88,8.55,21.31,11.23,2.77,4.36,16.59
527,EID Parry,845.1,1065.56,15032.02,8.94,14.26,1.74,-1.82,9.54,6.29,12.77,13.61,10.35,13.04,-7.82,8.84,16.59
528,Godrej Agrovet,597.5,175.6,11491.66,8.68,24.92,6.35,19.94,17.68,7.28,14.52,15.71,4.15,6.14,1.25,6.68,16.59
529,Colab Platforms,161.35,5.63,3291.54,1.11,681.48,120.39,3.93,12.36,11.94,9.85,8.87,545.9,188.59,173.37,79.86,16.59
530,Titagarh Rail,756.65,192.75,10190.09,9.5,55.78,4.01,0.06,11.75,7.88,14.34,10.46,38.13,16.97,882.64,57.02,16.55
531,Techno Elec.Engg,1223.5,704.53,14229.25,14.93,30.35,3.66,2.38,12.81,9.62,12.11,12.23,31.43,21.09,12.74,18.85,16.54
532,Vardhman Special,263.1,236.74,2543.8,8.8,23.6,2.1,-8.05,12.14,8.46,13.86,14.4,8.84,15.83,-2.93,115.74,16.53
533,Sai Parenteral's,484.75,,2141.59,24.14,148.52,,,17.14,5.34,16.14,,,,,,16.53
534,Sharda Cropchem,1109.65,1098.29,10011.32,17.74,17.69,3.74,-3.57,12.62,6.84,9.89,12.39,6.46,16.62,-4.95,8.25,16.5
535,Standard Engineering Technology,138.2,97.18,2756.97,15.56,36.59,3.69,1,11.55,8.45,18.52,,36.71,,36.77,,16.48
536,Bansal Wire Inds,302.85,155.77,4741.3,7.71,30.56,3.52,0.84,17.11,8.54,19.02,,16.87,,36.19,,16.44
537,Privi Speci.,3232.6,715.44,12627.41,24.35,42.04,10.19,1.63,18.36,7.17,11.1,11.74,14.39,5.2,25.81,4.89,16.42
538,Excelsoft Tech.,90.52,70.14,1041.74,31.43,27.3,2.69,0.85,10.38,7.78,7.88,7.11,13.91,17.66,32.2,54.74,16.4
539,Lumax Industries,5173.6,3037.17,4837.32,9.22,27.72,5.93,0.74,19.32,5.12,18.87,15.15,24.75,16.25,37.51,14.19,16.39
540,Mrs Bectors,194.55,94.99,5972.5,11.89,50.74,5.29,1.61,14.19,9.68,16.92,16.43,23.55,19.74,31.55,33.79,16.39
541,Raymond Realty,439.7,,2927.25,11.37,20.06,2.18,,72.31,1.65,,,,,,,16.38
542,Jindal Drilling,537.7,1303.79,1558.25,36.58,6.58,0.87,0.13,14.41,8.82,8.85,6.52,25.4,30.81,48.88,18.73,16.34
543,Five-Star Bus.Fi,493.25,878.52,14559.52,70.32,13.13,2.13,0.4,18.65,8.22,17.27,16.89,31.44,29.34,33.23,32.57,16.34
544,Blue Dart Expres,5348.5,1615.8,12691.99,15.63,43.66,7.78,-2.68,16.19,6.65,23.52,27.89,9.05,12.49,-16.29,46.19,16.33
545,Gopal Snacks,275,17.43,3427.11,5.07,96.81,7.9,31.53,11.42,8.45,26.46,25.41,2.81,10.62,3.07,0.6,16.31
546,Paramount Comm.,36.75,55.13,1121.65,3.69,19.36,1.5,0.16,12.77,9.89,15.81,13,39.48,21.03,118.61,26.62,16.3
547,Deepak Nitrite,1690.3,838.91,23054.52,11.59,42.53,4.18,-3.08,13.36,9.86,16.99,22.66,6.78,14.38,-13.81,2.02,16.28
