S.No.,Name,CMP Rs.,IV Rs.,Mar Cap Rs.Cr.,OPM %,P/E,CMP / BV,PEG,ROE %,ROA 12M %,ROE 3Yr %,ROE 5Yr %,Sales Var 3Yrs %,Sales Var 5Yrs %,Profit Var 3Yrs %,Profit Var 5Yrs %,ROCE % 
767,Indian Hume Pipe,322.95,609.6,1701.36,12.14,16.22,1.22,0.78,9.17,4.2,9.2,8.86,-0.64,-1.69,20.76,6.74,11.91
768,Gland Pharma,1713.5,1678.94,28231.01,23.95,32.67,2.95,-1.95,7.81,6.41,9.22,12.44,8.47,16.36,-16.73,-1.69,11.89
769,Faze Three,466.6,271.21,1134.72,8.54,36.14,2.66,-3.03,8.69,5.43,13.15,14.1,11,17.95,-11.92,13.9,11.88
770,M M Forgings,498.9,238.57,2408.77,17.77,27.81,2.6,2.62,14.5,5.64,17.54,16.28,10.2,14.67,10.62,23.87,11.88
771,Rane (Madras),747.55,838.13,2066.01,8.78,23.97,2.95,1.5,8.42,2.61,29.29,22.88,29.87,25.35,15.97,27.8,11.87
772,Satin Creditcare,167.37,323.27,1848.95,50.43,9.63,0.71,0.09,7.53,1.69,10.3,6.97,23.5,11.6,107.97,3.74,11.87
773,KRBL,359.9,336.63,8237.75,14.49,12.73,1.5,10.7,9.42,7.83,12.48,12.98,9.93,4.45,1.19,-3.15,11.84
774,TCC Concept,394.25,711.58,1873.79,73.88,36.83,2.55,,9.28,8.35,11.48,,,,,,11.83
775,PCBL Chemical,282.08,242.12,11098.79,13.37,42.62,2.87,38.75,12.46,3.76,14.63,15.61,23.64,20.98,1.1,9.15,11.82
776,HMA Agro Inds.,23.9,39.13,1196.84,2.48,7.04,1.38,-0.78,11.48,5.55,17.13,21.21,18.52,16.69,-9.01,13.49,11.81
777,SBFC Finance,94.94,87.31,10504.3,69.12,23.3,2.82,0.53,13.04,4.58,11.89,10.91,31.73,26.89,44.2,39.59,11.8
778,Everest Kanto,112.79,302.4,1265.59,13.12,10.73,0.98,-0.4,8.92,6.67,9.27,13.7,-4.08,14.54,-26.57,90.5,11.79
779,Sanstar,87.93,87.3,1602.47,2.24,82.26,2.43,2.04,9.63,6.84,20.04,20.24,23.66,29.55,40.29,129.68,11.76
780,Kama Holdings,2484.15,6067.8,7971.78,21.87,8.5,1.04,-0.66,9.11,5.72,14.97,16.62,5.85,15.32,-12.93,3.78,11.75
781,Craftsman Auto,7570,4748.19,18058.68,14.79,51.41,5.96,5.47,9.41,3.71,15.19,14.77,36.92,30.69,9.4,36.89,11.74
782,Ventive Hospital,598.1,658.49,13968.12,44.53,42.88,2.81,,4.75,3.1,,,,,,,11.73
783,Bliss GVS Pharma,262.68,118.75,2778.86,16.21,25.14,2.45,0.57,8.36,7.19,8.95,7.92,2.7,3.27,43.88,-4.53,11.72
784,Protean eGov,525,344.08,2132.38,10.46,22.8,2.09,-3.23,9.38,7.25,11.01,12.04,6.76,3.26,-7.06,-5.73,11.72
785,Navin Fluo.Intl.,6452,1814.66,33069.22,30.52,58.86,9.18,19.24,11.52,6.27,13.06,13.89,17.36,17.22,3.06,-6.59,11.68
786,Syrma SGS Tech.,969.6,491.29,18696.84,10.96,65.71,6.66,2.37,9.45,4.37,8.92,9.79,44.06,34.44,27.7,12.24,11.67
787,Sh.Pushkar Chem.,391.8,313.34,1266.99,10.44,17.17,2.19,8.94,11.45,7.35,9.56,10.38,11.35,18.41,1.92,10.42,11.64
788,Bajaj Electrical,388.6,78.15,4484.08,4.25,119.13,2.62,-25.56,7.12,2.8,8.93,9,0.11,-0.65,-4.66,71.05,11.61
789,Ircon Intl.,150.22,159.23,14128.43,8.1,22.98,2.19,4.46,11.33,3.74,14.24,13.16,13.39,14.82,5.15,8.27,11.6
790,Alicon Cast.,685.45,432.19,1124.95,11.58,29.52,1.82,1.24,8.02,3.65,10.17,8.02,16.86,12.44,23.76,22.02,11.56
791,TTK Prestige,520.25,122.51,7124.87,8.99,46.43,3.75,-2.15,7.42,5.42,10.65,13.03,-0.09,5.54,-21.57,-5.42,11.55
792,Inox Wind,100.13,56.44,17304.85,21.4,34.48,2.59,0.79,11.69,5.77,-2.78,-9.86,78.58,36.16,43.82,29.46,11.52
793,The Hi-Tech Gear,624,169.73,1173.97,12.19,51.97,2.35,0.2,8.4,4.66,9.17,7.58,-1.52,5.12,263.08,37.02,11.51
794,PTC India,183.65,237.54,5436.19,5.65,8.74,0.93,0.87,12.28,5.2,10.36,10.55,-1.23,-2.15,10,12.83,11.51
795,Somany Ceramics,470.05,188.74,1927.81,8.25,29.79,2.45,-2.71,8.17,2.99,10.13,10.77,8.28,10.55,-10.98,13.87,11.51
796,Pashupati Cotsp.,88.15,14.18,1391.36,3.68,87.23,8.68,18.29,9.44,4.34,7,7.52,-1.26,9.91,4.77,91.51,11.51
797,West Coast Paper,483.05,517.59,3190.55,8.22,22.35,0.9,21.7,9.49,6.48,23.39,20.12,6.35,10.26,1.03,-2.98,11.47
798,Guj. Ambuja Exp,151.37,78.45,6942.9,6.04,33.98,2.24,-1.75,8.59,7.18,11.89,15.59,-0.41,3.86,-19.47,10.42,11.46
799,Apollo Tyres,423.85,215.62,26918.75,14.19,18.42,1.73,0.74,8.61,4.56,10.08,8.63,7.64,9.83,24.83,21.05,11.44
800,Bajaj Healthcare,323.8,208.58,1090,15.33,20.83,2.1,-1.18,10.69,4.98,4.15,12.72,-7.24,5.76,-17.69,9.56,11.44
801,Aadhar Hsg. Fin.,488.1,369.82,21266.7,76.56,20.4,3.07,0.75,16.86,4.31,17.25,16.41,21.6,17.5,27.03,36.61,11.42
802,Heidelberg Cem.,156.61,77.19,3548.99,12.62,24.98,2.71,-1.01,7.48,4.12,8.47,12.77,-2.2,-0.19,-24.8,-16.77,11.41
803,Senores Pharma.,891.15,818.36,4104.07,26.7,40.39,5.04,0.14,11.82,6.31,14.89,,204.04,,289.63,,11.4
804,DCM Shriram,1187.1,790.62,18511.91,11.72,26.5,2.56,-1.5,8.66,4.83,9.97,12.7,7.85,9.23,-17.62,-3.92,11.37
805,Home First Finan,1136,1102.1,11851.66,79.3,23.91,2.94,0.88,16.46,3.51,15.3,13.95,37.22,30.23,27.1,36.87,11.35
806,SG Mart,543.25,381.41,6844.95,1.93,66.63,4.48,,9.01,5.46,,,,,,,11.33
807,RPSG Ventures,840.4,,2780.58,14.33,,1.05,,-2.02,1.08,-3.22,-1.62,12.94,15.83,,5.64,11.33
808,MAS FINANC SER,320.35,389.08,5812.86,71.83,16.42,2.07,0.66,14.14,2.89,14.48,14,32.25,17.61,24.92,12.81,11.32
809,Bharat Global,120.05,6.93,1215.62,0.75,378.7,6.33,,11,4.73,9.83,9.78,2456.77,568.7,,,11.29
810,Hi-Tech Pipes,88.35,92.13,1794.46,4.81,27.84,1.47,0.97,7.47,4.99,8.28,9.07,19.04,21.4,28.66,35.61,11.26
811,Venky's (India),1519.2,760.8,2140.15,2.53,41.82,1.48,-3.77,8.21,5.61,6.61,11.34,-9.08,0.28,-11.09,44.05,11.25
812,Shrem InvIT,105,338.97,6413.86,54.22,7.45,1.01,0.14,17.29,7.23,15.31,,62.71,,54.87,,11.25
813,Prakash Industri,137.19,211.95,2456.82,14.76,7.43,0.72,0.26,11.15,8.28,9.45,7.55,0.72,6.19,28.3,24.52,11.24
814,CESC,180.58,136.56,23937.15,19.16,16.25,1.88,-27.54,11.34,3.55,11.87,12.48,10.67,6.93,-0.59,1.43,11.23
815,JTEKT India,128.99,43.67,3578.14,7.34,46.65,3.15,1.82,8.68,5.37,11.42,8.96,14.21,9.4,25.68,21.77,11.22
816,Relaxo Footwear,301.19,95.96,7497.78,13.68,44.68,3.55,-4.5,8.31,6.22,9.11,11.8,1.68,2.96,-9.93,-5.52,11.22
817,Paushak,457.15,221.4,1127.19,27.77,30.96,2.35,5.79,9.76,8.1,12.3,12.66,12.01,8.87,5.35,5.8,11.21
818,Capri Global,183.38,218.97,17643.98,65.24,20.9,2.64,0.64,11.76,2.66,9.15,9.63,49.64,35.28,32.63,24.29,11.18
819,Anant Raj,462.4,390.99,16640.71,26.22,31.58,3.78,0.32,10.89,8.44,8.5,6.06,64.61,49.46,98.01,73.92,11.17
820,Texmaco Rail,102.28,96.78,4161.41,8.05,24.99,1.47,0.23,6.39,3.86,5.08,4,32.64,18.24,108.83,16.82,11.15
821,Jubilant Ingrev.,738.55,217.17,11763.71,12.93,42.8,3.87,-2.19,8.88,5.16,9.24,11.53,-5.49,,-19.57,330.62,11.15
822,Chalet Hotels,797.6,407.58,17466.97,42.55,28.79,5.11,0.51,5.77,2.2,10.31,4.3,50.12,11.86,56.38,6.16,11.13
823,Arihant Super.,270.26,194.39,1168.87,22.6,25.74,3.33,2.67,18.84,3.91,23.02,21.59,14.66,16.43,9.65,58.31,11.1
824,TIL,198.07,,1815.33,2.11,,18.5,,0.91,0.11,,,68.21,-3.51,26.05,15.29,11.08
825,Venus Remedies,949.6,569.02,1269.33,16,16.63,2.14,-6.25,7.16,5.6,6.37,7.68,2.33,13.79,-2.66,69.34,11.06
826,Camlin Fine,127.4,,2447.25,7.5,1030.91,2.75,,-14.97,-7.5,-6.69,-1.51,5.68,9.7,,,11.03
827,Manappuram Fin.,289.4,150.47,24495.82,46.58,60.02,1.93,-20.7,10.14,2.51,15.51,17.3,18.19,12.86,-2.9,-3.69,11.03
828,Balaji Amines,1250.6,873.25,4052.07,16.69,28.13,2.15,-1.14,8.83,7.21,14.22,19.36,-15.64,8.24,-24.67,8.49,11
829,Ganesha Ecosphe.,1008.5,463.44,2702.37,10.01,69.72,2.14,3.62,9.38,5.8,8.28,8.76,12.79,10.52,19.24,10.57,11
830,Suprajit Engg.,417.25,181.81,5723.47,9.92,40.93,4.2,-2.1,6.5,3.17,10.12,12.03,21.2,15.96,-19.49,-6.75,10.97
831,Repco Home Fin,409.35,639.55,2560.95,90.34,5.56,0.71,0.17,14.39,3.24,14.16,13.39,9.93,4.95,33.45,9.13,10.97
832,Salasar Techno,7.3,5.85,1276,8.16,61.38,1.57,-9.65,4.1,1.76,8.59,9.53,26.28,22.43,-6.36,2.52,10.96
833,Stove Kraft,539.2,264.97,1785.15,10.37,47.74,3.61,-4.05,8.69,3.44,8.75,14.52,8.49,16.67,-11.79,66.09,10.96
834,Rupa & Co,156.79,147.01,1246.87,8.61,18.11,1.23,-0.74,8.39,5.6,7.4,13.44,-5.64,4.92,-24.34,6.12,10.92
835,I G Petrochems,424.95,,1308.63,4,,1,,8.17,4.86,9.25,14.82,5.43,15.82,-26.34,39.79,10.89
836,Kolte Patil Dev.,377.4,184.12,3346.79,4.26,78.99,2.74,11.41,13.15,2.08,5.45,4.99,15.4,8.74,6.92,7.55,10.87
837,Vardhman Textile,590.05,347.12,17069.07,12.46,21.39,1.68,-1.19,8.95,6.99,8.57,10.61,0.56,7.76,-18.03,8.16,10.83
838,Go Digit General,320.1,138.01,29593.21,2.5,57.96,6.39,1.15,11.87,2.17,7.12,1.55,34.62,,50.55,,10.8
839,Madras Fertilize,67.41,6.51,1085.98,0.6,153.17,43.95,-5.69,,3.03,,,3.36,14.49,-26.93,20.23,10.78
840,Tasty Bite Eat.,6968,1507.56,1787.99,10.9,49.92,5.61,1.42,8.58,5.69,12.53,12.53,14.22,5.42,35.04,-8.98,10.74
841,Sangam India,513.2,338.79,2578.65,9.76,28.47,2.15,-1.87,8.71,2.96,5.43,10.4,5.51,18.7,-15.21,67.16,10.68
842,Aster DM Health.,705.25,99.65,36540.49,18.43,101.43,8.06,-5.92,8.26,2.44,7.37,8.3,-26.1,-13.71,-17.14,-7.24,10.68
843,Tour. Fin. Corp.,72.56,27.08,3359.36,89.83,27.61,2.68,5.76,8.51,4.67,8.71,9.19,-0.22,-1,4.79,3.91,10.67
844,Gateway Distri,57.03,5.54,2849.47,21.23,11.61,1.26,2.11,12.24,8.39,13.24,12.29,6.95,5.4,5.49,21.69,10.65
845,Sh.Renuka Sugar,27.83,,5923.59,2.9,,,,,-3.08,,,19.25,17.47,,,10.64
846,Gokaldas Exports,709.05,546.79,5193.59,9.19,44.38,2.41,6.86,8.16,4.38,11.35,12.58,29.23,23.03,6.47,73.04,10.62
847,Mishra Dhatu Nig,375.95,84.11,7043.05,20.15,64.51,4.89,-4.44,8.05,3.78,9.14,11.56,7.71,8.54,-14.54,-7.17,10.6
848,Gandhar Oil Ref.,137.18,199.51,1342.71,5,12.63,1.04,-0.71,6.65,4.28,14.68,17.75,3.22,9.25,-17.69,52.02,10.59
849,Chola Financial,1569.1,2039.43,29464.16,55.62,12.44,2.16,0.44,19.11,2.36,19.13,18.51,31.37,20.37,28.57,31.6,10.57
850,Kiri Industries,398.65,2136.7,2597.92,-10.53,,0.73,,8.56,6.38,6.34,9.15,-20.93,-10.73,-12.77,-7.23,10.52
851,Blackbuck,597.25,111.06,10857.8,28.05,27.99,8.23,0.58,47.3,35.73,-8.33,-27.39,-18.07,-28.32,47.92,22.8,10.52
852,NLC India,299.1,288.78,41474.3,27.88,15.89,2.08,0.32,14.47,4.68,12.24,10.36,8.28,8.22,49.7,12.01,10.51
853,MTAR Technologie,5139.2,501.7,15807.97,19.09,232.88,21.17,-60.96,7.51,4.95,10.88,11.36,28.04,25.89,-3.82,11.04,10.51
854,RIR Power Electr,175.15,42.01,1393.71,13.77,152.65,10.06,5.12,8.6,5.8,12.41,11.98,26.76,,29.79,,10.51
855,JK Lakshmi Cem.,640.1,539.57,7946.48,15.92,16.62,2.14,-1.23,8.72,3.71,12.25,14.91,4.54,7.25,-13.48,3.74,10.48
856,TGV Sraac,107.02,238.12,1146.08,16.8,9.11,0.91,-0.76,8.01,4.84,15.56,14.83,4.67,10.95,-12.05,14.01,10.44
857,Ultramarine Pig.,406.55,565.32,1187.13,16.37,14.79,1.12,1.69,7.99,6.66,7.89,8.76,12.31,17.81,8.73,4.38,10.42
858,Senco Gold,318.1,444.96,5210.69,10.55,10.74,2.45,1.3,9.83,3.91,14.04,14.41,20.98,20.93,8.28,12.69,10.39
859,Sanathan Textile,433.45,187.57,3658.49,7.65,36.79,1.98,-1.54,10.15,5.46,11.49,,-1.99,,-23.86,,10.39
860,Century Plyboard,781.95,277.98,17372.82,11.91,71.64,7.04,-4.85,8.47,4.79,14.93,16.37,14.36,14.34,-14.76,5.7,10.38
861,Electronics Mart,103.31,58.6,3974.84,6.03,43.19,2.55,2.76,11.08,4.75,12.92,13.62,16.99,17.03,15.63,13.04,10.35
862,Borosil Scienti.,114.44,41.46,1017.91,10.28,42.75,2.52,,6.87,5.38,,,,,,,10.31
863,S H Kelkar & Co.,142.25,194.02,1969.04,11.12,21.21,1.48,-1.41,7.7,3.79,8.42,10.91,10.73,13.77,-15.02,10.75,10.29
864,Medplus Health,903.65,304.96,10848.74,8.79,52.41,5.87,3.24,8.8,4.59,5.51,6.48,17.53,16.41,16.19,131.42,10.28
865,JP Power Ven.,19.29,20.64,13220.32,29.61,21.33,1.04,0.22,6.85,4.64,6.86,4.78,5.71,10.71,96.34,19.98,10.26
866,Jindal Worldwide,24.64,8.37,2470.41,6.31,37.6,3.01,-3.3,10.06,4.29,13.15,13.97,-3.66,0.8,-11.4,21.67,10.24
867,Onix Solar,1021.75,708.15,2561.55,25.26,63.74,3.27,0.1,10.18,9.51,10.17,9.74,1887.93,227.04,639.19,152.42,10.21
868,Aether Industri.,1113.8,258.28,14777.93,32.82,66.06,6.34,4.28,7.8,6.63,8.44,,12.44,,15.45,,10.18
869,Balrampur Chini,516.1,239.57,10422.66,13.32,23.26,2.66,-4.34,10.96,5.97,11.6,13.87,3.77,2.69,-5.36,-4.78,10.16
870,Kitex Garments,163.63,51.95,3264.42,9.72,82.67,3.13,23.42,14.31,6.01,9.4,10.51,7.63,5.86,3.53,6.04,10.16
871,Rallis India,256.47,122.67,4987.54,11.91,27.14,2.43,-2.82,6.65,4.15,6.79,8.87,0.75,3.41,-9.62,-6.88,10.12
872,Graphite India,723.4,201.42,14133.47,6.18,40.65,2.4,-13.11,8,6.49,4.68,4.83,-5.43,-3.72,-3.1,59.18,10.11
873,AAVAS Financiers,1411.3,1383.73,11189.17,73.99,17.85,2.39,1.04,14.11,3.27,14.06,13.82,21.76,21.15,17.16,18.16,10.09
874,Dr Agarwal's Hea,438.1,118.76,13885.92,27.28,108.96,7.18,4.14,4.76,3.15,7.83,6.37,34.96,26.38,26.35,41.72,9.99
875,Ujaas Energy,156.66,2.24,2089.81,-14.65,685.18,23.73,20.34,9.68,7.57,13.41,-4.37,-15.51,-11.94,33.69,21.34,9.98
876,PTC India Fin,29.98,44.58,1925.57,120.3,5.77,0.65,0.31,8.2,3.56,7.39,6.01,-12.98,-14.11,18.64,14.56,9.93
877,Mukand,138.7,46.94,2004.15,5.37,33.36,2.09,-15.16,7.84,2.21,-8.25,-27.54,1.74,10.84,-2.2,17.98,9.91
878,M.V.K. Agro,511.1,87.96,2581.25,12.98,151.39,19.02,,11.07,3.41,15.2,,,,,,9.9
879,Gujarat Fluoroch,3383.3,1158.35,37165.55,26.57,55.73,4.88,-5.13,8.29,5.51,13.44,11.62,6.21,12.69,-10.86,21.05,9.89
880,Cyient DLM,373,265.95,2960.29,10.05,40.4,2.92,1.28,7.47,4.39,8.22,,14.88,,31.64,,9.88
881,Mangalam Cement,917.15,367.41,2521.91,12.26,30.99,2.8,-2.06,5.7,2.24,5.6,8.22,2.39,6.48,-15.07,-8.96,9.87
882,Northern ARC,256.89,522.47,4150.62,49.22,13.33,1.13,0.64,10.75,2.38,12.67,11.17,37.05,29.87,20.86,26.82,9.87
883,Hikal,181.1,,2232.98,13.66,89.32,1.87,-5.14,7.38,3.61,6.82,9.9,-1.44,4.29,-17.38,-0.94,9.85
884,Savita Oil Tech,365.15,388.58,2503.48,4.83,14.06,1.43,-0.53,6.1,4.15,11.23,14.67,9.09,13.28,-26.69,1.63,9.84
885,Steel Exchange,9.99,5.1,1245.97,10.73,64.29,1.66,-1.42,2.43,1.3,-1.77,6.07,1.21,7.86,-45.42,-26.18,9.84
886,Quess Corp,190.14,82.19,2839.39,1.95,12.55,2.54,-1.43,9.16,3.93,9.3,7.98,3.01,6.37,-8.78,5.7,9.82
887,Fedbank Financi.,149.32,190.12,5588.32,62.05,17.76,2.06,0.6,9.38,1.85,12.1,11.45,32.81,34.41,29.43,41.84,9.82
888,Welspun Special.,39.85,14.91,2640.51,5.25,120.19,5.94,5.21,-1.68,-0.68,12.18,,64.26,19.65,23.05,14.31,9.81
889,Technvision Ven.,5723,148.69,3594.04,3.73,992.83,321.79,-12.51,1.5,0.07,,,23.86,12.8,-79.38,15.38,9.81
890,S C I,288.29,276.74,13428.55,34.66,11.85,1.57,-12.09,10.53,7.02,10.07,9.8,3.92,4.84,-0.98,26.97,9.81
891,Media Matrix,10.3,1.24,1166.72,1.63,199.44,17.39,3.18,6.75,2.67,3.05,2.13,9.98,2.56,62.63,23.21,9.78
892,Cosmo First,698.3,755.99,1833.02,9.91,12.54,1.19,-0.41,9.26,3.42,10.94,18.34,-1.6,5.61,-30.89,2.84,9.77
893,Mahindra Holiday,258.71,45.46,5227.06,21.1,55.11,7.14,2.26,19.6,1.26,24.76,24.12,11.37,3.23,24.38,24.32,9.73
894,Shriram Properti,82.53,54.64,1408.41,4.75,20.1,1.02,0.2,5.81,1.99,5.84,2.78,23.9,7.56,100.51,23.21,9.73
895,Hester Bios,1492,753.36,1269.22,22.74,30.99,3.76,-2.86,9.18,4.43,8.54,11.32,9.8,11.16,-10.84,-0.72,9.71
896,Abans Financial,204.96,436.44,1041.05,1.17,8.1,0.88,0.37,10.17,3.64,9.52,9.28,71.98,3.44,21.82,23.92,9.71
897,Epack Durable,232.78,181.3,2240.01,7.89,54.7,2.34,1.18,5.98,2.92,7.09,7.81,32.93,,46.38,,9.7
898,Crest Ventures,360.45,352.01,1025.47,53.06,21.51,0.81,0.23,7.7,6.46,18.3,13.54,53.11,25.04,93.8,14.34,9.68
899,Bharat Bijlee,3060.7,2059.35,3459.55,7.82,26.39,1.58,0.78,7,5.2,7.25,6.38,14.53,15.41,33.78,24.53,9.66
900,Rane Holdings,1101.3,806.08,1572.66,5.96,77.6,1.4,0.78,8.02,2.78,12.35,6.37,17.6,15.21,98.93,90.1,9.64
901,ITC Hotels,158.33,144.61,32979.76,34.71,40.3,2.99,,6.66,5.67,,,,,,,9.63
902,H U D C O,211.37,107.59,42314.16,95.6,15.22,2.35,0.93,15.67,2.44,13.51,13.11,13.98,6.45,16.43,9.66,9.62
903,Sagility,41.37,29.8,19366.66,24.42,22.16,2.18,0.08,7.38,5.08,4.89,,82.03,,290.55,,9.58
904,G N F C,468.45,664.2,6883.44,8.36,11.05,0.8,-0.37,7.08,5.49,9.98,12.95,-2.98,8.86,-29.56,3.3,9.57
905,Nilkamal Ltd,1306.4,920.14,1949.15,8.58,16.5,1.29,1.78,7.32,4.46,8.77,8.71,6.66,7.98,9.26,-4.67,9.57
906,Nelcast,128.8,67.06,1120.58,8.39,24,1.98,0.71,6.48,3.03,7.04,5.46,10.51,17.17,33.58,-0.7,9.55
907,CreditAcc. Gram.,1236.5,922.56,19809.08,44.26,40.82,2.76,2.8,7.86,1.88,16.26,13.58,29.18,27.86,14.6,10.16,9.55
908,Jubilant Pharmo,945.4,304.14,15060.22,15.98,32.63,2.28,3.18,9.55,4.64,1.41,5.62,5.68,3.9,10.27,-9.56,9.54
909,Ravindra Energy,144,32.64,2572.19,21.92,27.17,6.53,-2.63,10.78,5.01,9.78,11.68,-31.08,-19.03,-10.34,-3.74,9.53
910,Vertis Infra.,108,160.07,16307.83,70.41,26.9,2.33,0.23,8.64,4.37,10.35,,125.21,,117.01,,9.51
911,Dalmia Bharat,377.45,666.35,3055.05,12.34,9.02,0.95,0.93,12.44,7.65,10.32,11.37,7.6,12.16,9.71,14.1,9.48
912,Trident,25.45,9.74,12969.21,12.79,31.76,2.81,-1.33,8.23,5.01,9.07,11.9,-0.05,8.13,-23.95,1.7,9.48
913,Oriental Hotels,95.73,45.99,1709.73,27.12,30.82,2.47,0.53,5.99,4.23,8.25,1.89,26.08,8.6,57.63,47.64,9.45
914,Samhi Hotels,162.33,177.85,3605.91,36.12,23.24,2.01,0.75,9.62,2.96,,,51.85,13.29,30.97,20.21,9.43
915,PNB Housing,1033.65,930.2,26931.71,94.5,11.75,1.4,0.39,12.7,2.6,12.22,11.41,9.22,2.26,29.87,19.7,9.4
916,JM Financial,138.71,116.89,13267.14,62.63,10.51,1.29,5.23,9.01,2.87,7.35,8.27,5.79,5.06,2.01,8.53,9.39
917,DEE Development,432.35,106.33,2994.6,17.91,35.57,3.58,0.48,7,3.13,5.53,4.42,21.53,2.75,74.36,26.27,9.39
918,Indian Renewable,135.89,104.93,38174.64,88.63,20.28,2.95,0.52,18.05,2.39,17.14,16.45,33.16,23.31,38.93,51.26,9.37
919,Confidence Petro,54.83,75.52,1821.68,7.74,21.6,1.32,52.68,7.24,3.82,9.24,10.14,30.13,23.89,0.41,11.63,9.33
920,Keystone Realtor,391.25,124.35,4939.03,5.18,54.13,1.77,7.53,7.53,3,6.88,12,16.44,10.59,7.19,50.84,9.33
921,SG Finserve,533.9,729.17,3518.13,91.91,27.56,2.39,0.3,10.32,3.87,10.12,9.77,100.36,169.39,90.69,140.7,9.32
922,Indus Inf. Trust,129.62,91.5,5741.37,70.95,13.55,1.18,0.14,9.38,6.92,4.69,6.12,-22.51,,94.34,,9.32
923,TTK Healthcare,920.4,571.22,1300.56,3.27,18.68,1.2,0.86,6.89,5.72,29.19,26.38,10.18,4.42,21.7,41.96,9.26
924,IRB InvIT Fund,61.72,34.98,4881.73,83.15,14.59,2.11,3.5,8.75,2.71,8.89,7.42,-7.99,-2.66,4.17,15.41,9.22
925,Zee Entertainmen,88.1,86.76,8462.18,11.52,14.82,0.73,-1.38,6.71,5.53,3.09,5.57,0.44,0.4,-10.73,3.66,9.21
926,Can Fin Homes,909.6,774.77,12111.7,92.06,11.16,2.03,0.55,19.66,2.54,18.94,18.54,15.42,15.88,20.46,18.94,9.17
927,Wendt India,7051,1700.72,1410.2,13.56,96.92,5.55,-3.54,5.85,4.8,12.7,14.91,3.97,11.58,-27.36,4.78,9.16
928,SpiceJet,14.79,,2257.1,-14.52,,,,,0.65,,,-6.94,-15.63,26.74,15.6,9.1
929,Himatsing. Seide,88.09,87.87,1107.66,16.93,7.07,0.53,-0.14,1,0.32,1.08,1.86,-4.44,3.33,-49.68,-5.86,9.04
930,Dynamatic Tech.,11829.5,778.28,8033.94,10.96,171.59,9.81,4.19,6.21,2.67,8.37,5.62,3.85,2.68,40.95,1.91,8.96
931,Baazar Style,387.75,154.02,2893.29,14.91,112.89,6.33,1.58,7.05,1.49,7.37,2.85,34.59,16.38,71.63,35.21,8.94
932,Centrum Capital,24.62,,1131.48,29.36,,2.5,,-57.6,-0.84,-30.43,-24.95,70.64,47.25,-6.14,,8.93
933,LIC Housing Fin.,540.75,752.47,29744.66,93.25,5.42,0.77,0.16,16.05,1.8,14.68,13.8,12.06,7.33,33.53,17.76,8.93
934,SPML Infra,213.26,82.53,1789.6,6.99,30.07,2.03,0.07,7.78,2.48,3.31,1.75,-6.79,-14.7,430.89,48.64,8.91
935,Modern Insulator,332.45,109.42,1567.3,12.03,24.39,3.16,1.27,7.26,5.57,7.79,7.56,4.45,2.74,19.15,3.19,8.9
936,IOL Chemicals,89.11,71.11,2615.62,10.75,21,1.49,-1.24,6.13,4.37,8.09,14.22,-1.63,1.88,-16.98,-22.48,8.86
937,Bhartiya Intl.,788.45,480.53,1057.34,8.46,28.48,2.19,0.66,3.75,1.38,6.75,3.04,14.07,7.39,43.45,-5.84,8.85
938,Orient Cement,143.57,191.29,2949.79,18.2,9,1.43,-0.3,5.12,3.21,7.75,11.31,-0.2,2.27,-29.8,0.99,8.83
939,Neogen Chemicals,1634.5,257.83,4475.53,15.86,168.7,5.39,-170.4,5.59,2.7,6.94,8.76,16.86,20.49,-0.99,8.61,8.82
940,IIFL Finance,419.35,620.65,17834.52,59.8,13.92,1.37,-0.63,4.9,1.32,13.12,14.38,13.54,16.12,-21.94,2.39,8.81
941,Finolex Inds.,172.21,112.51,10685.23,13.05,22.43,1.85,-1.12,6.76,5.5,6.62,11.73,-3.76,6.77,-19.96,4.12,8.77
942,Sigma Advanced System,236.66,74.52,4170.89,-6.9,29.12,6.22,,-18.47,-8.2,-6.47,-3.72,,,,,8.74
943,Sh. Digvijay Cem,74.13,50.18,1096.15,9.69,30.96,3,-1.34,6.77,4.07,16.35,17,4.84,9.07,-23.07,-14.87,8.73
944,Canara HSBC,140.62,12.76,13358.9,1.22,116.08,8.5,0.93,7.95,0.29,7.69,6.36,8.02,28.35,125.07,2.13,8.73
945,M & M Fin. Serv.,294.4,290.04,40920.75,62.5,13.86,1.54,1.17,12.26,1.96,11.14,10.57,17.87,11.15,11.83,34.68,8.72
946,Entero Healthcar,1250.1,697.66,5439.3,3.8,46.74,3.08,0.64,5.63,4.25,,,26.42,30.44,72.84,151.54,8.71
947,PSP Projects,729.05,342.46,2890.08,5.88,80.08,2.36,-2.74,5.4,2.63,11.85,14.86,12.17,10.49,-29.22,-14.99,8.7
948,RattanIndia Pow.,9.48,4.34,5090.86,15.53,37.56,1.12,1.3,4.96,2.29,,,0.25,13.11,28.94,15.86,8.69
949,Bannari Amm.Sug.,3623.7,1226.72,4544.01,11.61,32.11,2.49,3.73,6.04,4.49,8.26,7.56,-3.55,2.19,8.62,1.82,8.68
950,Indo Thai Sec.,296.85,27.68,3251.16,71.98,86.93,17.54,-14.51,6.54,4.52,7.01,10.42,10.6,23.34,-5.99,22.52,8.66
951,Exide Inds.,342.8,195.26,29138,10.29,35,1.98,-0.8,5.74,3.92,6.64,14.52,10.46,3.56,-43.85,-0.45,8.65
